Accel_X,Accel_Y,Accel_Z,Temp,Light
9.193123,1.264054,1.570492,24.736207,17.000000
8.886684,1.570492,2.489804,24.714234,5.000000
8.427029,1.187445,3.064375,24.736207,4.000000
7.699242,0.114914,4.634867,24.714234,8.000000
7.048061,-1.110836,5.898922,24.736207,4.000000
2.528109,-0.995922,8.427029,24.692261,4.000000
3.179289,-5.515875,9.039906,24.714234,8.000000
2.757937,-5.286047,7.316195,24.714234,10.000000
2.566414,-5.209436,7.431108,24.714234,5.000000
2.796242,-4.941303,7.431108,24.692261,4.000000
2.681328,-5.554178,7.814156,24.736207,4.000000
3.179289,-4.749781,7.086367,24.736207,6.000000
3.064375,-4.864695,7.354500,24.736207,4.000000
3.140984,-4.864695,7.392803,24.780152,4.000000
2.987765,-4.711475,7.546022,24.736207,7.000000
2.987765,-5.286047,6.741625,24.714234,4.000000
3.102679,-3.983687,8.733467,24.736207,7.000000
3.217593,-4.405039,8.503639,24.736207,12.000000
1.225750,-2.949461,9.154819,24.714234,4.000000
-3.255898,-1.493883,8.043983,24.780152,4.000000
1.302359,-7.392803,7.546022,24.758179,6.000000
1.264054,-7.277889,4.328428,24.758179,3.000000
0.000000,-4.634867,8.848381,24.758179,4.000000
0.268133,-3.830468,8.695164,24.780152,6.000000
0.651180,-3.830468,8.005676,24.714234,5.000000
0.153219,-5.477570,7.852461,24.780152,5.000000
0.268133,-4.673172,8.082287,24.780152,11.000000
0.919312,-4.941303,7.622631,24.736207,4.000000
1.340664,-5.592484,7.354500,24.780152,7.000000
1.455578,-5.477570,7.354500,24.736207,3.000000
1.647101,-5.784006,7.316195,24.714234,22.000000
1.455578,-5.477570,7.316195,24.736207,6.000000
1.493883,-5.324350,7.431108,24.714234,3.000000
1.302359,-5.286047,7.546022,24.780152,5.000000
1.608797,-5.017914,7.852461,24.780152,4.000000
1.225750,-5.860617,7.584328,24.824097,21.000001
1.762015,-6.052139,6.818233,24.802125,5.000000
1.455578,-6.243664,6.511797,24.780152,4.000000
2.106757,-6.435186,6.167053,24.780152,5.000000
